start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,user_language,q2_4,q3_4,q4,q4_4_text,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q7_7,q7_8,q8_1,q9_1,q9_2,q9_3,q9_4,q10
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,User Language,"On average, how many days do you work per week? - Days","On average, how many hours do you work per week? - Hours",Which of the following best describes your work format: - Selected Choice,Which of the following best describes your work format: - Other: - Text,Consider the following statements for a typical workday and rate your agreement/disagreement with each. - I often look forward to starting my workday.,Consider the following statements for a typical workday and rate your agreement/disagreement with each. - I am focused and productive during the workday.,"Consider the following statements for a typical workday and rate your agreement/disagreement with each. - When I am working, I daydream about being somewhere else.","Consider the following statements for a typical workday and rate your agreement/disagreement with each. - I feel that I have enough time for my other responsibilities during the work week (e.g., exercise, cooking, appointments, etc.).",Consider the following statements for a typical workday and rate your agreement/disagreement with each. - I have time for personal hobbies/passions outside of work.,"Consider the following statements for a typical workday and rate your agreement/disagreement with each. - By the end of the work week, I am exhausted.",Consider the following statements for a typical workday and rate your agreement/disagreement with each. - I feel that the amount I am paid is a fair exchange for the time and effort I dedicate to my job.,Consider the following statements for a typical workday and rate your agreement/disagreement with each. - A shorter work week would benefit me.,"For the question below, please rate your answer on a scale of 0-100 where 0 is ""extremely unsatisfied"" and 100 is ""extremely satisfied"". - How satisfied are you with your current work-life balance?","Consider the following work week options. Rank these in order of your most preferred (#1) to least preferred (#4). - My current work week set up, with no change in pay.","Consider the following work week options. Rank these in order of your most preferred (#1) to least preferred (#4). - A shorter work week with more hours per day, with no change in pay.","Consider the following work week options. Rank these in order of your most preferred (#1) to least preferred (#4). - A shorter work week with the same hours per day, with no change in pay.","Consider the following work week options. Rank these in order of your most preferred (#1) to least preferred (#4). - A shorter work week with the same hours per day, with a reduction in pay.",Refer to Q9. Describe why you chose your #1 preferred option. Discuss any other comments/feelings you have about your work-life balance that you'd like to share.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_4_TEXT""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID7_8""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID10_TEXT""}"
2025-06-22 20:53:57,2025-06-22 20:54:46,1,100,48,1,2025-06-22 20:54:46,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,1,NA,NA
2025-06-25 14:51:05,2025-06-25 14:53:57,0,100,172,1,2025-06-25 14:53:57,EN,NA,NA,4,No Job :(,3,3,4,5,5,3,1,NA,80,3,2,1,NA,NA
2025-06-25 14:52:08,2025-06-25 14:54:51,0,100,163,1,2025-06-25 14:54:52,EN,NA,NA,3,NA,4,4,3,4,4,2,5,NA,100,2,3,1,NA,NA
2025-06-22 20:56:03,2025-06-25 15:37:50,0,100,240107,1,2025-06-25 15:37:51,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-06-29 11:10:16,2025-06-29 11:11:26,0,100,69,1,2025-06-29 11:11:26,EN,5,40,1,NA,3,4,2,4,3,4,2,5,40,3,4,1,2,"It would help me meet my family's needs, and I am underpaid anyway for what I do, I think."
2025-06-29 11:10:08,2025-06-29 11:11:33,0,100,84,1,2025-06-29 11:11:33,EN,6,40,2,NA,4,4,3,4,3,5,3,4,45,3,1,2,4,I prefer to work harder on days on just to be able to have a day off
2025-06-29 11:10:25,2025-06-29 11:11:47,0,100,82,1,2025-06-29 11:11:47,EN,5,40,1,NA,2,4,4,3,4,5,4,5,70,3,2,1,4,Obviously I would like to work less for the same amount of money!
2025-06-29 11:10:17,2025-06-29 11:11:52,0,100,94,1,2025-06-29 11:11:52,EN,5,25,2,NA,4,NA,2,4,NA,1,4,3,86,3,2,1,4,i think most of my job can be done in a shorter time more than efficiently
